school_id,stage,instruction_languages,confidence,source,match_method,match_score,chsc_name,inference_reason,notes
edb_114707000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"New Territories Women Juveniles Welfare Association Leung Sing Tak School",,
edb_519162000233,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Chan Chun Ha Field Studies Centre",,
edb_171026000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Po Leung Kuk Vicwood K.T. Chong Sixth Form College",,
edb_517160000233,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Ho Koon Nature Education cum Astronomical Centre",,
edb_519162000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Chan Chun Ha Field Studies Centre",,
edb_250627000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Lok Jun School",,
edb_250627000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Lok Jun School",,
edb_250490000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Chi Morninglight School Yuen Long",,
edb_250490000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Chi Morninglight School Yuen Long",,
edb_250368000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Resurrection School",,
edb_250368000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Resurrection School",,
edb_250317000233,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Chi Morningjoy School Yuen Long",,
edb_250317000223,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Chi Morningjoy School Yuen Long",,
edb_114448000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Sam Shui Natives Association Lau Pun Cheung School",,
edb_114448000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Sam Shui Natives Association Lau Pun Cheung School",,
edb_114227000223,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"HKSYC & IA Chan Nam Chong Memorial School",,
edb_114227000233,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"HKSYC & IA Chan Nam Chong Memorial School",,
edb_250139000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"SAHK B M Kotewall Memorial School",,
edb_250139000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"SAHK B M Kotewall Memorial School",,
edb_250309000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Rotary Club of Hong Kong Island West Hong Chi Morninghope School",,
edb_250309000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Rotary Club of Hong Kong Island West Hong Chi Morninghope School",,
edb_250244000433,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Chi Pinehill School",,
edb_250244000423,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Chi Pinehill School",,
edb_260215002023,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Kong Red Cross Hospital Schools",,
edb_260339000123,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Pelletier School",,
edb_608491000133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Caritas Mother Teresa School",,
edb_260215001133,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Kong Red Cross Hospital Schools",,
edb_260215000723,小學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Kong Red Cross Hospital Schools",,
edb_260215000733,中學,CANTONESE,LOW,"Special Education MOI List",special_ed_match,1.000,"Hong Kong Red Cross Hospital Schools",,
