school_id,school_name,curriculum,confidence,source
edb_513709000123,"慈幼學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_114855000323,"大埔浸信會公立學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_114855000223,"大埔浸信會公立學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_115584000223,"培基小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_610224000123,"新界婦孺福利會基督教銘恩小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_512036000123,"東華三院鶴山學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_115762000123,"仁濟醫院蔡衍濤小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_114928000123,"仁愛堂劉皇發夫人小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_114723000123,"循理會美林小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_512060000223,"嘉諾撒聖家學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_514519000223,"香港道教聯合會雲泉學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_511161000123,"浸信會孔憲紹天虹小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_511129000123,"大坑東宣道小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_115320000123,"香港中文大學校友會聯會張煊昌學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_114499000123,"東華三院高可寧紀念小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_518425000123,"聖公會李兆強小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_113247000123,"亞斯理衛理小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_513474000123,"聖公會基樂小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_512176000123,"合一堂學校",HK_LOCAL,HIGH,EDB/CHSC policy
edb_560642000123,"中華基督教會基華小學(九龍塘)",HK_LOCAL,HIGH,EDB/CHSC policy
edb_543233000223,"基督教培恩小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_113417000223,"中華基督教會全完第一小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_115568000123,"中華基督教會蒙黃花沃紀念小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_114634000223,"保良局蕭漢森小學",HK_LOCAL,HIGH,EDB/CHSC policy
edb_115509000123,"沙田循道衛理小學",HK_LOCAL,HIGH,EDB/CHSC policy
