学校名称 (中文),学校名称 (英文),类别,国际课程流向,备注
拔萃男书院,Diocesan Boys' School,DSS,IBDP,极高竞争力的双修模式
圣保罗男女中学,St. Paul's Co-educational College,DSS,IBDP,本地最早推行双轨的名校
圣士提反书院,St. Stephen's College,DSS,IBDP,寄宿学校双轨模式
启思中学,Creative Secondary School,DSS,IBDP,初中全员 IB MYP，高中分流
香港华人基督教联会真道书院,HKCCCU Logos Academy,DSS,IBDP,11 年学制，双出口
保良局颜宝铃书院,PLK Ngan Po Ling College,DSS,IBDP,设有中四衔接班
基督教香港信义会宏信书院,ELCHK Lutheran Academy,DSS,IBDP / IAL,罕见的 PYP/MYP/DP 全链条 + DSE
优才(杨殷有娣)书院,G.T. (Ellen Yeung) College,DSS,IBDP,资优教育特色
地利亚修女纪念学校(协和),Delia Memorial School (Glee Path),DSS,IBDP,服务多元族裔
港青基信书院,YMCA of Hong Kong Christian College,DSS,GCE A-Level,国际生比例极高，实质上的国际学校
香港浸会大学附属学校王锦辉中小学,HKBUAS Wong Kam Fai,DSS,GCE A-Level,高中明确分流
圣保禄学校,St. Paul's Convent School,DSS,IAL / GCE,传统女校，STEM 强项
圣保罗书院,St. Paul's College,DSS,IAL,男校，近年增设 IAL
拔萃女书院,Diocesan Girls' School,DSS,GCE A-Level,顶尖女校，直通英美名校
培侨书院,Pui Kiu College,DSS,IAL / IFY,独有的 NCUK IFY 预科课程
基督教崇真中学,Tsung Tsin Christian Academy,DSS,IAL,另设 GCE 中文
汇基书院(东九龙),United Christian College (KE),DSS,IAL (Edexcel),明确的 NLC 路径
港大同学会书院,HKUGA College,DSS,IAL,2024 学年新设
香港神托会培基书院,Stewards Pooi Kei College,DSS,IAL,已有 IAL 毕业生
九龙三育中学,Kowloon Sam Yuk Secondary,DSS,IAL,英语环境强
大埔三育中学,Tai Po Sam Yuk Secondary,DSS,IAL,英语环境强
万钧伯裘书院,Pak Kau College,DSS,IAL,2025 新增
慕光英文书院,Mu Kuang English School,DSS,IAL,强调日韩语 + IAL
英华书院,Ying Wa College,DSS,IAL,混合课程模式
圣玛加利男女英文中小学,St. Margaret's Co-edu,DSS,A-Level,长期实行双轨
协恩中学,Heep Yunn School,DSS,IAL,引入 IAL 丰富选修
,,,,
学校名称 (中文),学校名称 (英文),实际课程分类,关键特征,
保良局蔡继有学校,PLK Choi Kai Yau School,IB,12 年制，全校 IGCSE + IBDP，无 DSE,
弘立书院,ISF Academy,IB,沉浸式双语，IB MYP + DP，无 DSE,
沪江维多利亚学校,Victoria Shanghai Academy,IB,全 IB (PYP/MYP/DP),
启新书院,Discovery College,IB,英基属下，全 IB,
智新书院,Renaissance College,IB,英基属下，全 IB,
香港耀中国际学校,Yew Chung International School,IB / UK,IGCSE + IBDP,
汉鼎书院,Han Academy,UK / IB,"IGCSE, A-Level, IBDP。不设 DSE",
香港美国学校,American School Hong Kong,US / IB,US Common Core + IBDP,
香港史丹福美国学校,Stamford American School,US / IB,US Standards + IBDP,
香港威雅学校,Wycombe Abbey School,UK,纯英式预备学校,
加州学校,California School,UK,IGCSE + A-Level，服务 NCS,
香港力迈学校,Hong Kong Limai School,UK,Cambridge 体系,
Invictus School,Invictus School,UK,Cambridge 体系,
凯莉山,Mount Kelly,UK,英式课程,
香港道尔顿学校,Dalton School Hong Kong,US,Dalton Plan + 清华中文,
李宝椿联合世界书院,Li Po Chun UWC,IB,只设高中 IBDP,
,,,,
学校名称,备注,,,
国际基督教优质音乐中学暨小学 (ICQM),PIS 例外：唯一只提供 DSE 的 PIS 学校,,,
中华基金中学,强英语教学，DSE 主导,,,
林大辉中学,体艺特色，DSE 主导,,,
罗定邦中学,英语语境，DSE 主导,,,
福建中学,DSE 主导,,,
汇知中学,DSE + 职专导向,,,
孔圣堂礼仁书院,DSE + 国学特色,,,
心诚中学,DSE 主导,,,
公理高中书院,DSE + 应用学习,,,
佛教筏可纪念中学,DSE (含 GCSE 中文作为第二语言),,,
