school_id,school_name_en,school_name_zh,stage,curriculums,confidence,source,reason
sch_01001,Singapore International School Primary,新加坡國際東區小學,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01002,French International School Primary,法國國際小學,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01003,Harrow International School Hong Kong Primary,哈羅香港國際小學,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01004,Hong Kong International School Primary,香港國際學校深水埗區小學部,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01005,French International School Primary,法國國際小學,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01006,German Swiss International School Primary,德瑞國際小學,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01007,Independent Schools Foundation Academy Primary,弘立書院小學部,小學,CANADIAN,HIGH,schools.ts curriculum field,Declared Canadian curriculum
sch_01008,German Swiss International School Primary,德瑞國際小學,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01009,Chinese International School Primary,漢基國際小學,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01010,Australian International School Primary,澳洲國際小學,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01011,Harrow International School Hong Kong Primary,哈羅香港國際小學,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01012,Independent Schools Foundation Academy Primary,弘立書院中西區小學部,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01013,American School Hong Kong Primary,美國國際九龍城區小學,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01014,Singapore International School Primary (觀塘區),新加坡國際觀塘區小學（西區）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01015,Chinese International School Primary (葵青區),漢基國際葵青區小學（葵青區分校）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01016,German Swiss International School Primary (黃大仙區),德瑞國際小學（西區）,小學,CANADIAN,HIGH,schools.ts curriculum field,Declared Canadian curriculum
sch_01017,Hong Kong International School Primary (東區),香港國際學校小學部（第2校）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01018,Chinese International School Primary (深水埗區),漢基國際深水埗區小學（深水埗區）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01019,German Swiss International School Primary (葵青區),德瑞國際葵青區小學（第4校）,小學,CANADIAN,HIGH,schools.ts curriculum field,Declared Canadian curriculum
sch_01020,Harrow International School Hong Kong Primary (深水埗區),哈羅香港國際小學（西區）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01021,Singapore International School Primary (灣仔區),新加坡國際灣仔區小學（東區）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01022,Australian International School Primary (九龍城區),澳洲國際小學（九龍城區分校）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01023,Yew Chung International Primary School (南區),耀中國際小學（第3校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01024,German Swiss International School Primary (荃灣區),德瑞國際荃灣區小學（第4校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01025,Australian International School Primary (黃大仙區),澳洲國際小學（東區）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01026,German Swiss International School Primary (荃灣區),德瑞國際荃灣區小學（荃灣區）,小學,CANADIAN,HIGH,schools.ts curriculum field,Declared Canadian curriculum
sch_01027,Independent Schools Foundation Academy Primary (屯門區),弘立書院小學部（第2校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01028,American School Hong Kong Primary (葵青區),美國國際葵青區小學（葵青區分校）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01029,Canadian International School Primary (中西區),加拿大國際小學（東區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01030,Independent Schools Foundation Academy Primary (屯門區),弘立書院小學部（屯門區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01031,Australian International School Primary (沙田區),澳洲國際沙田區小學（沙田區分校）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01032,Singapore International School Primary (西貢區),新加坡國際西貢區小學（西貢區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01033,Harrow International School Hong Kong Primary (東區),哈羅香港國際小學（第3校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01034,ESF Primary School (西貢區),英基小學（第4校）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01035,Singapore International School Primary (油尖旺區),新加坡國際油尖旺區小學（油尖旺區）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01036,Singapore International School Primary (南區),新加坡國際南區小學（南區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01037,Canadian International School Primary (南區),加拿大國際小學（第2校）,小學,CANADIAN,HIGH,schools.ts curriculum field,Declared Canadian curriculum
sch_01038,American School Hong Kong Primary (北區),美國國際北區小學（北區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01039,Australian International School Primary (南區),澳洲國際小學（第4校）,小學,AMERICAN,HIGH,schools.ts curriculum field,Declared American curriculum
sch_01040,French International School Primary (灣仔區),法國國際灣仔區小學（灣仔區分校）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01041,Yew Chung International Primary School (灣仔區),耀中國際灣仔區小學（灣仔區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01042,Independent Schools Foundation Academy Primary (西貢區),弘立書院西貢區小學部（西貢區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01043,French International School Primary (西貢區),法國國際西貢區小學（第3校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01044,Hong Kong International School Primary (離島區),香港國際學校小學部（北區）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01045,German Swiss International School Primary (西貢區),德瑞國際小學（第5校）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01046,Australian International School Primary (沙田區),澳洲國際小學（第1校）,小學,CANADIAN,HIGH,schools.ts curriculum field,Declared Canadian curriculum
sch_01047,Australian International School Primary (北區),澳洲國際北區小學（北區分校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01048,American School Hong Kong Primary (北區),美國國際北區小學（西區）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01049,Hong Kong International School Primary (離島區),香港國際學校離島區小學部（第4校）,小學,AUSTRALIAN,HIGH,schools.ts curriculum field,Declared Australian curriculum
sch_01050,Canadian International School Primary (油尖旺區),加拿大國際小學（油尖旺區分校）,小學,BRITISH,HIGH,schools.ts curriculum field,Declared British curriculum
sch_01051,St. Paul's Co-educational College Primary School,聖保羅男女中學附屬小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01052,Pui Kiu Primary School,培僑小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01053,Diocesan Girls' Junior School,拔萃女小學,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01054,HKUGA Primary School,港大同學會中西區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01055,St. Paul's Co-educational College Primary School,聖保羅男女中學附屬葵青區小學,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01056,Pui Kiu Primary School,培僑小學,小學,DUAL_TRACK,HIGH,v1.2 rule: dual-track bucket,Marked as Dual Track (HK local + international) without specifying IB vs British
sch_01057,PLK Camões Tan Siu Lin Primary School,保良局陳守仁沙田區小學,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01058,Pui Kiu Primary School,培僑觀塘區小學,小學,DUAL_TRACK,HIGH,v1.2 rule: dual-track bucket,Marked as Dual Track (HK local + international) without specifying IB vs British
sch_01059,Ying Wa Primary School,英華中西區小學,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01060,HKUGA Primary School,港大同學會小學,小學,DUAL_TRACK,HIGH,v1.2 rule: dual-track bucket,Marked as Dual Track (HK local + international) without specifying IB vs British
sch_01061,PLK Camões Tan Siu Lin Primary School (屯門區),保良局陳守仁屯門區小學（屯門區分校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01062,Diocesan Girls' Junior School (大埔區),拔萃女小學（第2校）,小學,DUAL_TRACK,HIGH,v1.2 rule: dual-track bucket,Marked as Dual Track (HK local + international) without specifying IB vs British
sch_01063,Ying Wa Primary School (元朗區),英華小學（元朗區）,小學,DUAL_TRACK,HIGH,v1.2 rule: dual-track bucket,Marked as Dual Track (HK local + international) without specifying IB vs British
sch_01064,St. Paul's College Primary School (元朗區),聖保羅書院小學（南區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01065,Diocesan Boys' School Primary Division (灣仔區),拔萃男書院附屬小學（第5校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01066,St. Paul's Co-educational College Primary School (荃灣區),聖保羅男女荃灣區中學附屬小學（北區）,小學,DUAL_TRACK,HIGH,v1.2 rule: dual-track bucket,Marked as Dual Track (HK local + international) without specifying IB vs British
sch_01067,Diocesan Boys' School Primary Division (屯門區),拔萃男書院附屬小學（南區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01068,Pui Kiu Primary School (油尖旺區),培僑油尖旺區小學（油尖旺區分校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01069,St. Paul's College Primary School (中西區),聖保羅書院中西區小學（中西區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01070,Fukien Secondary School Affiliated School (元朗區),福建元朗區中學附屬學校（元朗區分校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01071,Diocesan Girls' Junior School (北區),拔萃女小學（第1校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01072,St. Paul's Co-educational College Primary School (油尖旺區),聖保羅男女油尖旺區中學附屬小學（第2校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01073,PLK Camões Tan Siu Lin Primary School (油尖旺區),保良局陳守仁油尖旺區小學（油尖旺區）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01074,HKUGA Primary School (觀塘區),港大同學會觀塘區小學（第4校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01075,PLK Camões Tan Siu Lin Primary School (中西區),保良局陳守仁小學（第5校）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
sch_01076,Pui Kiu Primary School (深水埗區),培僑小學（第1校）,小學,HK_LOCAL,HIGH,schools.ts curriculum field,Declared DSE curriculum
sch_01077,HKUGA Primary School (觀塘區),港大同學會小學（觀塘區分校）,小學,DUAL_TRACK,HIGH,v1.2 rule: dual-track bucket,Marked as Dual Track (HK local + international) without specifying IB vs British
sch_01078,St. Paul's College Primary School (大埔區),聖保羅書院小學（西區）,小學,IB,HIGH,schools.ts curriculum field,Declared IB curriculum
