id,name,nameEn,level,type,fundingType,curriculums,confidence,reason
sch_01001,新加坡國際東區小學,Singapore International School Primary,小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01002,法國國際小學,French International School Primary,小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01003,哈羅香港國際小學,Harrow International School Hong Kong Primary,小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01004,香港國際學校深水埗區小學部,Hong Kong International School Primary,小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01005,法國國際小學,French International School Primary,小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01006,德瑞國際小學,German Swiss International School Primary,小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01007,弘立書院小學部,Independent Schools Foundation Academy Primary,小學,國際學校,私立,CANADIAN,HIGH,dataset curriculum=Canadian
sch_01008,德瑞國際小學,German Swiss International School Primary,小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01009,漢基國際小學,Chinese International School Primary,小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01010,澳洲國際小學,Australian International School Primary,小學,國際學校,私立,IB,HIGH,dataset curriculum=IB
sch_01011,哈羅香港國際小學,Harrow International School Hong Kong Primary,小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01012,弘立書院中西區小學部,Independent Schools Foundation Academy Primary,小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01013,美國國際九龍城區小學,American School Hong Kong Primary,小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01014,新加坡國際觀塘區小學（西區）,Singapore International School Primary (觀塘區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01015,漢基國際葵青區小學（葵青區分校）,Chinese International School Primary (葵青區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01016,德瑞國際小學（西區）,German Swiss International School Primary (黃大仙區),小學,國際學校,私立,CANADIAN,HIGH,dataset curriculum=Canadian
sch_01017,香港國際學校小學部（第2校）,Hong Kong International School Primary (東區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01018,漢基國際深水埗區小學（深水埗區）,Chinese International School Primary (深水埗區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01019,德瑞國際葵青區小學（第4校）,German Swiss International School Primary (葵青區),小學,國際學校,私立,CANADIAN,HIGH,dataset curriculum=Canadian
sch_01020,哈羅香港國際小學（西區）,Harrow International School Hong Kong Primary (深水埗區),小學,國際學校,私立,AUSTRALIAN,HIGH,dataset curriculum=Australian
sch_01021,新加坡國際灣仔區小學（東區）,Singapore International School Primary (灣仔區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01022,澳洲國際小學（九龍城區分校）,Australian International School Primary (九龍城區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01023,耀中國際小學（第3校）,Yew Chung International Primary School (南區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01024,德瑞國際荃灣區小學（第4校）,German Swiss International School Primary (荃灣區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
sch_01025,澳洲國際小學（東區）,Australian International School Primary (黃大仙區),小學,國際學校,私立,AMERICAN,HIGH,dataset curriculum=American
sch_01026,德瑞國際荃灣區小學（荃灣區）,German Swiss International School Primary (荃灣區),小學,國際學校,私立,CANADIAN,HIGH,dataset curriculum=Canadian
sch_01027,弘立書院小學部（第2校）,Independent Schools Foundation Academy Primary (屯門區),小學,國際學校,私立,BRITISH,HIGH,dataset curriculum=British
