school_id,school_name,stage,reason
edb_558095000233,香港兆基創意書院(李兆基基金會贊助、香港當代文化中心主辦),secondary,no_curriculum_info_found
edb_570370000423,港灣學校,secondary,no_curriculum_info_found
edb_570370000323,港灣學校,secondary,no_curriculum_info_found
edb_570370000333,港灣學校,secondary,no_curriculum_info_found
edb_598062000123,英藝英文小學,primary,no_curriculum_info_found
edb_130060000123,漢師德萃學校,primary,no_curriculum_info_found
edb_603600000123,德萃小學,primary,no_curriculum_info_found
edb_626902000123,博睿學校,primary,no_curriculum_info_found
edb_112720000123,鄉師自然學校,primary,no_curriculum_info_found
edb_596140000123,樹宏學校,primary,no_curriculum_info_found
edb_620548000123,花園華德福學校,primary,no_curriculum_info_found
edb_620785000123,安菲爾聖鮑思高冠英學校,primary,no_curriculum_info_found
edb_606812000123,禮仁小學,primary,no_curriculum_info_found
edb_571130000323,愛培學校,secondary,no_curriculum_info_found
edb_619957000123,奧柏學校,primary,no_curriculum_info_found
edb_622079000123,安基司學校,primary,no_curriculum_info_found
edb_216224000123,神召會德萃書院,primary,no_curriculum_info_found
edb_607290000123,保良局建造商會學校,primary,no_curriculum_info_found
edb_608327000123,示昕學校,primary,no_curriculum_info_found
edb_579009000123,銀礦灣學校,primary,no_curriculum_info_found
edb_216208000123,地利亞英文小學暨幼稚園,primary,no_curriculum_info_found
edb_608319000223,香島華德福學校,secondary,no_curriculum_info_found
edb_587567000123,安菲爾學校,primary,no_curriculum_info_found
edb_617393000123,百卉九江書院,primary,no_curriculum_info_found
edb_590371000223,弘志學校,secondary,no_curriculum_info_found
edb_600814000123,DISCOVERY MONTESSORI ACADEMY,primary,no_curriculum_info_found
edb_623067000133,聖道百卉書院,secondary,no_curriculum_info_found
edb_215287000933,香港華德福教育基金會瑪利亞書院,secondary,no_curriculum_info_found
edb_215287001134,香港華德福教育基金會瑪利亞書院,secondary,no_curriculum_info_found
edb_215287001234,香港華德福教育基金會瑪利亞書院,secondary,no_curriculum_info_found
edb_315699000333,華夏書院,secondary,no_curriculum_info_found
edb_625264000133,倫敦卓越書院(尖沙咀),secondary,no_curriculum_info_found
edb_612820000133,泰來書院,secondary,no_curriculum_info_found
edb_615137000133,大光德萃書院,secondary,no_curriculum_info_found
edb_596140000233,樹宏學校,secondary,no_curriculum_info_found
edb_621374000133,香港紫荊書院,secondary,no_curriculum_info_found
edb_215287001534,香港華德福教育基金會瑪利亞書院,secondary,no_curriculum_info_found
edb_215287001334,香港華德福教育基金會瑪利亞書院,secondary,no_curriculum_info_found
edb_215287001034,香港華德福教育基金會瑪利亞書院,secondary,no_curriculum_info_found
edb_608319000233,香島華德福學校,secondary,no_curriculum_info_found
edb_608327000133,示昕學校,secondary,no_curriculum_info_found
edb_215287001434,香港華德福教育基金會瑪利亞書院,secondary,no_curriculum_info_found
