school_id,stage,instruction_languages,confidence,source,match_method,match_score,chsc_name,inference_reason,notes
edb_170887000123,小學,ENGLISH,HIGH,ESF,esf_school,1.000,Glenealy School,,ESF primary
edb_171034000123,小學,ENGLISH,HIGH,ESF,esf_school,1.000,Clearwater Bay School,,ESF primary
edb_170860000123,小學,ENGLISH,HIGH,ESF,esf_school,1.000,Peak School,,ESF primary
edb_171034000223,小學,ENGLISH,HIGH,ESF,esf_school,1.000,Clearwater Bay School,,ESF primary (branch)
edb_250686000223,小學,ENGLISH,HIGH,Special Ed Reference,special_ed,1.000,Jockey Club Sarah Roe School,,Only EMI special school
edb_170895000123,小學,ENGLISH,HIGH,ESF,esf_school,1.000,Quarry Bay School,,ESF primary
edb_170747000123,小學,ENGLISH,HIGH,ESF,esf_school,1.000,Bradbury School,,ESF primary
edb_170399000133,中學,ENGLISH,HIGH,ESF,esf_school,1.000,Island School,,ESF secondary
edb_170836000133,中學,ENGLISH,HIGH,ESF,esf_school,1.000,South Island School,,ESF secondary
edb_250686000233,中學,ENGLISH,HIGH,Special Ed Reference,special_ed,1.000,Jockey Club Sarah Roe School,,Only EMI special school
edb_170917000133,中學,ENGLISH,HIGH,ESF,esf_school,1.000,King George V School,,ESF secondary
edb_570370000423,小學,ENGLISH,HIGH,International School,intl_school,1.000,The Harbour School,,International school
edb_215406000123,小學,ENGLISH,HIGH,International School,intl_school,1.000,Kellett School,,British international
edb_603902000123,小學,ENGLISH,HIGH,International School,intl_school,1.000,American School Hong Kong,,American curriculum
edb_215406000433,中學,ENGLISH,HIGH,International School,intl_school,1.000,Kellett School,,British international
edb_570370000333,中學,ENGLISH,HIGH,International School,intl_school,1.000,The Harbour School,,International school
edb_603902000133,中學,ENGLISH,HIGH,International School,intl_school,1.000,American School Hong Kong,,American curriculum
edb_130060000123,小學,ENGLISH|CANTONESE,LOW,School Profile,inferred,0.800,St. Hilary's School,,Bilingual local private
edb_603600000123,小學,ENGLISH|CANTONESE,LOW,School Profile,inferred,0.800,St. Hilary's Primary School,,Bilingual local private
edb_626902000123,小學,ENGLISH,LOW,School Profile,inferred,0.800,Linden School,,International-style
edb_615285000123,小學,ENGLISH,HIGH,International School,intl_school,1.000,Invictus School,,International school
edb_607371000223,小學,ENGLISH,HIGH,International School,intl_school,1.000,Dalton School Hong Kong,,International school
edb_589055000123,小學,ENGLISH|CANTONESE,LOW,School Profile,inferred,0.800,YMCA Christian Academy,,Bilingual
edb_609781000123,小學,ENGLISH,HIGH,International School,intl_school,1.000,Limai School,,International school
edb_112720000123,小學,CANTONESE,LOW,School Profile,inferred,0.800,Gaia School,,Waldorf/alternative
edb_596140000123,小學,CANTONESE,LOW,School Profile,inferred,0.800,Forest House Waldorf School,,Waldorf school
edb_620548000123,小學,CANTONESE,LOW,School Profile,inferred,0.800,Garden House Waldorf School,,Waldorf school
edb_617334000223,小學,ENGLISH,HIGH,International School,intl_school,1.000,Oxbridge British School,,British curriculum
edb_620785000123,小學,ENGLISH|CANTONESE,LOW,School Profile,inferred,0.800,Anfield St. Bosco School,,Bilingual
edb_606812000123,小學,ENGLISH|CANTONESE,LOW,School Profile,inferred,0.800,Academy of Innovation,,Local private
edb_571130000323,小學,CANTONESE,LOW,School Profile,inferred,0.800,Aoi Pui School,,Local private
edb_619957000123,小學,ENGLISH|CANTONESE,LOW,School Profile,inferred,0.800,AP School,,Local private
edb_609498000123,小學,SPANISH|ENGLISH|CANTONESE,HIGH,School Profile,intl_school,1.000,Spanish School of Hong Kong,,Trilingual
edb_607290000123,小學,ENGLISH|CANTONESE,LOW,School Profile,inferred,0.800,HKCA Po Leung Kuk School,,Bilingual
