school_id,stage,instruction_languages,confidence,source
edb_513709000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_115584000223,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_512060000223,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_511129000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_518425000123,小學,CANTONESE,HIGH,"CHSC primary (exact)"
edb_512176000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary (name)"
edb_115509000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_512176000223,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary (name)"
edb_513130000223,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_513385000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_115355000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_115126000123,小學,PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_543195000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_511749000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_114529000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary (name)"
edb_114391000123,小學,PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_112666000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_575720000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_575844000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_579556000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_575615000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_510017000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_511846000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary (name)"
edb_513318000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_134872000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_115061000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_529257000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_115681000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_113107000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_518484000123,小學,ENGLISH,HIGH,"CHSC primary (name)"
edb_513148000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary (name)"
edb_513628000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_115770000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_114685000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_115274000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
edb_513431000123,小學,CANTONESE,HIGH,"CHSC primary (name)"
