id,school_code,campus_code,name,name_en,district,district18,address,nature,curriculum,joined_kgp,sessions,variant_ids,pedagogy_tags,language_env,tuition_min,tuition_max,religion,phone,website,curriculum_confidence,pedagogy_confidence,language_confidence,needs_review
edb_3249220001,324922,0001,愛群道浸信會呂郭碧鳳幼稚園,OI KWAN ROAD BAPTIST CHURCH LUI KWOK PAT FONG KINDERGARTEN,港島,灣仔區,香港灣仔愛群道36號地下 三樓、四樓及五樓活動室,non_profit,local,Y,AM|PM|WD,edb_324922000111|edb_324922000112|edb_324922000113,play_explore|play_explore|project_learn|language_dev|holistic|holistic|holistic,cantonese,0,0,,2893271528912172,http://www.lkpfkg.edu.hk,high,medium,medium,N
edb_6036430001,603643,0001,奧恩國際幼稚園,MIGHTY OAKS INTERNATIONAL KINDERGARTEN,港島,中西區,香港堅尼地城卑路乍街４６Ａ號隆基大廈１樓及１樓平台,non_profit,non_local,N,AM|PM,edb_603643000111|edb_603643000112,project_learn|holistic,english,0,0,,28068383,http://mightyoaks.edu.hk,medium,high,high,N
edb_2156940001,215694,0001,奧伊斯嘉日本語幼稚園,OISCA JAPANESE KINDERGARTEN,港島,東區,香港北角孔雀路明園大廈２６－４８號地下,non_profit,non_local,N,AM|WD,edb_215694000111|edb_215694000113,,english,0,0,,27755899,http://www.oisca-youchien.com,medium,low,high,Y
edb_2159370001,215937,0001,栢基國際幼稚園,PARKVIEW INTERNATIONAL PRE-SCHOOL,港島,南區,香港大潭水塘道八十八號陽明山莊十八座地下(幼兒園專用部份除外),non_profit,ib,N,AM|PM,edb_215937000111|edb_215937000112,montessori|play_explore,english,0,0,,28126023,http://www.pips.edu.hk/hk/index.asp,high,high,high,N
edb_5673450001,567345,0001,保良局慧妍雅集幼稚園,PO LEUNG KUK WAI YIN KINDERGARTEN,港島,東區,香港鰂魚涌基利路１號鰂魚涌社區綜合大樓１樓Ａ,non_profit,local,Y,WD,edb_567345000113,play_explore|play_explore|play_explore|project_learn|holistic,english|native_english,0,0,,25906332,http://www.poleungkuk.org.hk,high,high,high,N
edb_6072900001,607290,0001,保良局建造商會學校,HKCA PO LEUNG KUK SCHOOL,港島,灣仔區,香港天后廟道62號,non_profit,ib,N,AM|PM,edb_607290000111|edb_607290000112,montessori,putonghua|english,0,0,,28071770,https://www.plkis.edu.hk,high,high,high,N
edb_5636410001,563641,0001,保良局朱李月華幼稚園,PO LEUNG KUK CHU LEE YUET WAH KINDERGARTEN,港島,灣仔區,香港銅鑼灣禮頓道６６號,non_profit,local,Y,WD,edb_563641000113,play_explore|holistic,cantonese,0,0,,22778383,http://www.poleungkuk.org.hk,high,high,medium,N
edb_5637730001,563773,0001,保良局莊啓程夫人（華貴）幼稚園,PO LEUNG KUK MRS VICWOOD K T CHONG (WAH KWAI) KINDERGARTEN,港島,南區,香港薄扶林華貴邨華貴社區中心４樓,non_profit,local,Y,WD,edb_563773000113,play_explore|play_explore|play_explore|project_learn|holistic,putonghua|english|native_english,0,0,,25516908,http://www.poleungkuk.org.hk,high,high,high,N
edb_3238960001,323896,0001,保良局莊啓程幼稚園,PO LEUNG KUK VICWOOD CHONG KEE TING KINDERGARTEN,港島,灣仔區,香港禮頓道６６號,non_profit,local,Y,AM|PM|WD,edb_323896000111|edb_323896000112|edb_323896000113,montessori|project_learn|holistic,cantonese,0,0,,28949921,https://www.plkkgs.edu.hk/plkvcktkg,high,high,medium,N
edb_5661010001,566101,0001,寶寶幼兒學校,BO BO NURSERY SCHOOL,港島,東區,香港太古城太古灣道星輝台平台Ｐ１０１２－Ｐ１０１６,non_profit,local,Y,AM|PM|WD,edb_566101000111|edb_566101000112|edb_566101000113,montessori|project_learn,english,0,0,,25689706,http://www.bobonursery.com.hk,high,high,high,N
