kg_id,language_env,confidence,source_type,source_url,evidence_snippet,needs_review
edb_1314400001,putonghua|english|native_english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,普通話; 英語; 外籍英語老師及操純正普通話老師分別教授英語,false
edb_1314660001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,本校提供基督化全人教育，著重品德教育，並以生活化的主題貫通各學習範疇，透過活動和遊戲，加強自由探索的元素，從而啟發兒童自主學習及探索的精神。 本校會遵照《幼稚園教育課程指引》(2017)規劃課程，不會,true
edb_1328960001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,我們以 「兒童為本位」的理念，採用繪本作主題教學、藝術綜合教育來施教，同時我們會提供一個豐富的學習環境來激發兒童主動學習的意慾，並根據他們的能力、需要和興趣，開展多元化的活動，讓他們從小在語文、感知（,true
edb_2100210001,putonghua|english|cantonese,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,普通話; 英文; 粵語,false
edb_2136320002,english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,英文,false
edb_2142480001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,按照幼兒身心發展及需要，提供優質的幼兒教育課程，以富愛心和啟發性的快樂學習方式教導幼兒。 本校會遵照《幼稚園教育課程指引》(2017)規劃課程，不會要求幼兒班兒童執筆寫字，亦不會要求兒童做機械式的抄寫,true
edb_2157240001,english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,沒有資料 沒有資料 SMALL WORLD CHRISTIAN KINDERGARTEN,false
edb_2161860002,english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,沒有資料 沒有資料 CARMEL SCHOOL,false
edb_3198130001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,"以「兒童為本」, 配合幼兒的發展和興趣, 提供生活化和重視感官探索的學習活動, 讓幼兒從遊戲中學習, 培育探索精神◦ 本校會遵照《幼稚園教育課程指引》(2017)規劃課程，不會要求幼兒班兒童執筆寫字，",true
edb_3222700001,english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,英語,false
edb_3259700001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,參照教育局「幼稚園教育課程指引」，並按照幼兒的能力、生活經驗及學習興趣編制均衡而適切的課程。 本校會遵照《幼稚園教育課程指引》(2017)規劃課程，不會要求幼兒班兒童執筆寫字，亦不會要求兒童做機械式的,true
edb_5122730002,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,課程以聖經真理及建構理論為基礎，著重讓幼兒在神的愛裡「從做」及「遊戲」中學習，透過建構式專題研習的學教模式讓幼兒在環境中與人、事、物產生互動，從中引發學習興趣，再與老師一起擬訂學習內容，繼而進行資料搜,true
edb_5134230001,trilingual,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,兩文三語,false
edb_5369110001,trilingual,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,兩文三語,false
edb_5421640001,english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,英文,false
edb_5455890001,english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,沒有資料 沒有資料 HIGHGATE HOUSE SCHOOL - THE PEAK,false
edb_5484300004,english|bilingual,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,英語; 雙語,false
edb_5527390002,trilingual|english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,兩文三語; 英文,false
edb_5634390001,putonghua|english,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,普通話; 英語,false
edb_5636920001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,"以兒童為本：按照幼兒的發展需要和能力,依據幼兒的興趣和經驗。 全面和均衡：兼顧幼兒認知及語言、體能、情意及群性、美感、品德等整體發展,著重不同學習範疇的知識、技能及態度的培養。 本校會遵照《幼稚園教育",true
edb_5643540001,trilingual,high,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,兩文三語,false
edb_5644350001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,以辦學宗旨為核心，依據「學前教育課程指引」，以綜合主題教學和探究式教學，配合兒童的個別差異和生活經驗以提供全面、均衡和適切的課程。 本校會遵照《幼稚園教育課程指引》(2017)規劃課程，不會要求幼兒班,true
edb_5646480001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,課程編排以幼兒心智發展作為編訂的核心，包括語文、個人與群體、幼兒數學、體能與健康、藝術與創意、大自然與生活等學習範疇，並培養幼兒的主動學習情操以提昇高階思維。 本校會遵照《幼稚園教育課程指引》(201,true
edb_5648500001,cantonese,medium,edb_kgp_profile,https://www.edb.gov.hk/attachment/tc/edu-system/preprimary-kindergarten/free-quality-kg-edu/KGP_2025_tc.csv,以「兒童為本」作為課程核心價值，規劃開放和富彈性的校本課程。 本校會遵照《幼稚園教育課程指引》(2017)規劃課程，不會要求幼兒班兒童執筆寫字，亦不會要求兒童做機械式的抄寫或操練式的計算練習。 以生活,true
