name,nameEn,levels,category,districts,schoolIds,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"ABC PATHWAYS INTERNATIONAL KINDERGARTEN","ABC PATHWAYS INTERNATIONAL KINDERGARTEN","幼稚園","國際","東區","edb_602329000111;edb_602329000112","","",0,0
"ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","幼稚園","國際","九龍城區","edb_603864000211;edb_603864000212;edb_603864000213","","",0,0
"美國國際學校","AMERICAN INTERNATIONAL SCHOOL","幼稚園;小學;中學","國際","九龍城區","edb_287695000213;edb_287695000211;edb_287695000223;edb_287695000233","AMERICAN","ENGLISH",97000,180400
"AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH)","AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH)","小學","國際","九龍城區","edb_527882000123","AMERICAN","ENGLISH",152800,152800
"AMERICAN SCHOOL HONG KONG","AMERICAN SCHOOL HONG KONG","小學;中學","國際","大埔區","edb_603902000123;edb_603902000133","AMERICAN","ENGLISH",0,0
"安基司學校附屬國際幼稚園","ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN","幼稚園","國際","元朗區","edb_622060000112;edb_622060000113;edb_622060000111","","",0,0
"安基司國際幼兒園","ANCHORS INTERNATIONAL NURSERY","幼稚園","國際","大埔區","edb_565199000212;edb_565199000211;edb_565199000213;edb_565199000113;edb_565199000111;edb_565199000112","","",0,0
"安菲爾國際幼稚園","ANFIELD INTERNATIONAL KINDERGARTEN","幼稚園","國際","九龍城區","edb_535818000312;edb_535818000311;edb_535818000313;edb_535818000211;edb_535818000212;edb_535818000213","","",0,0
"安菲爾學校","ANFIELD SCHOOL","小學","國際","沙田區","edb_587567000123","HK_LOCAL","ENGLISH;CANTONESE",0,0
"安菲爾聖鮑思高冠英學校","ANFIELD ST. BOSCO KOON YING SCHOOL","小學","國際","元朗區","edb_620785000123","HK_LOCAL","ENGLISH;CANTONESE",0,0
"雅士圖國際幼稚園","ARISTLE INTERNATIONAL KINDERGARTEN","幼稚園","國際","深水埗區","edb_604470000111;edb_604470000112","","",0,0
"香港澳洲國際學校","AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG","幼稚園;小學;中學","國際","九龍城區","edb_216275000612;edb_216275000613;edb_216275000611;edb_216275000623;edb_216275000633","AUSTRALIAN","ENGLISH",148800,252800
"BEACON HILL SCHOOL","BEACON HILL SCHOOL","小學","國際","九龍城區","edb_170348000123","BRITISH","ENGLISH",139000,139000
"博士山（香港）國際幼稚園","BOX HILL (HK) INTERNATIONAL KINDERGARTEN","幼稚園","國際","沙田區","edb_559415000112;edb_559415000111","","",77000,79200
"博士山(香港)國際幼稚園-將軍澳","BOX HILL (HK) INTERNATIONAL KINDERGARTEN - TSEUNG KWAN O","幼稚園","國際","西貢區","edb_581836000212;edb_581836000213;edb_581836000211","","",74800,78100
