id,name,nameEn,level,category,rawCategory,district,district18,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"edb_602329000111","ABC PATHWAYS INTERNATIONAL KINDERGARTEN","ABC PATHWAYS INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","東區","","",0,0
"edb_602329000112","ABC PATHWAYS INTERNATIONAL KINDERGARTEN","ABC PATHWAYS INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","港島","東區","","",0,0
"edb_603864000211","ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_603864000212","ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_603864000213","ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN)","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_287695000213","美國國際學校","AMERICAN INTERNATIONAL SCHOOL","幼稚園","國際","私立","九龍","九龍城區","","",97000,146800
"edb_287695000211","美國國際學校","AMERICAN INTERNATIONAL SCHOOL","幼稚園","國際","私立","九龍","九龍城區","","",97000,146800
"edb_287695000223","美國國際學校","AMERICAN INTERNATIONAL SCHOOL","小學","國際","私立","九龍","九龍城區","AMERICAN","ENGLISH",164400,164400
"edb_287695000233","美國國際學校","AMERICAN INTERNATIONAL SCHOOL","中學","國際","私立","九龍","九龍城區","AMERICAN","ENGLISH",180400,180400
"edb_527882000123","AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH)","AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH)","小學","國際","私立","九龍","九龍城區","AMERICAN","ENGLISH",152800,152800
"edb_603902000123","AMERICAN SCHOOL HONG KONG","AMERICAN SCHOOL HONG KONG","小學","國際","私立","新界","大埔區","AMERICAN","ENGLISH",0,0
