school_id,gender,source,confidence,chsc_name
edb_513709000123,MIXED,CHSC_PSP,HIGH,"慈幼學校"
edb_114855000323,MIXED,CHSC_PSP,HIGH,"大埔浸信會公立學校"
edb_114855000223,MIXED,CHSC_PSP,HIGH,"大埔浸信會公立學校"
edb_115584000223,MIXED,CHSC_PSP,HIGH,"培基小學"
edb_610224000123,MIXED,CHSC_PSP,HIGH,"新界婦孺福利會基督教銘恩小學"
edb_512036000123,MIXED,CHSC_PSP,HIGH,"東華三院鶴山學校"
edb_115762000123,MIXED,CHSC_PSP,HIGH,"仁濟醫院蔡衍濤小學"
edb_114928000123,MIXED,CHSC_PSP,HIGH,"仁愛堂劉皇發夫人小學"
edb_114723000123,MIXED,CHSC_PSP,HIGH,"循理會美林小學"
edb_512060000223,GIRLS,CHSC_PSP,HIGH,"嘉諾撒聖家學校"
edb_514519000223,MIXED,CHSC_PSP,HIGH,"香港道教聯合會雲泉學校"
edb_511161000123,MIXED,CHSC_PSP,HIGH,"浸信會孔憲紹天虹小學"
edb_511129000123,MIXED,CHSC_PSP,HIGH,"大坑東宣道小學"
edb_115320000123,MIXED,CHSC_PSP,HIGH,"香港中文大學校友會聯會張煊昌學校"
edb_114499000123,MIXED,CHSC_PSP,HIGH,"東華三院高可寧紀念小學"
edb_518425000123,MIXED,CHSC_PSP,HIGH,"聖公會李兆強小學"
edb_113247000123,MIXED,CHSC_PSP,HIGH,"亞斯理衞理小學"
edb_513474000123,MIXED,CHSC_PSP,HIGH,"聖公會基樂小學"
edb_512176000123,MIXED,CHSC_PSP,HIGH,"合一堂學校"
edb_560642000123,MIXED,CHSC_PSP,HIGH,"中華基督教會基華小學（九龍塘）"
edb_543233000223,MIXED,CHSC_PSP,HIGH,"基督教培恩小學"
edb_113417000223,MIXED,CHSC_PSP,HIGH,"中華基督教會全完第一小學"
edb_115568000123,MIXED,CHSC_PSP,HIGH,"中華基督教會蒙黃花沃紀念小學"
edb_114634000223,MIXED,CHSC_PSP,HIGH,"保良局蕭漢森小學"
edb_115509000123,MIXED,CHSC_PSP,HIGH,"沙田循道衛理小學"
edb_536547000223,MIXED,CHSC_SSP,HIGH,"東涌天主教學校"
edb_113000000123,MIXED,CHSC_PSP,HIGH,"東莞學校"
edb_512176000223,MIXED,CHSC_PSP,HIGH,"合一堂學校"
edb_623709000123,MIXED,CHSC_PSP,HIGH,"五旬節聖潔會永光小學"
edb_513687000122,GIRLS,CHSC_PSP,HIGH,"嘉諾撒聖心學校"
edb_513130000223,MIXED,CHSC_PSP,HIGH,"長沙灣天主教小學"
edb_114871000123,MIXED,CHSC_PSP,HIGH,"救世軍田家炳學校"
edb_150436000123,MIXED,CHSC_PSP,HIGH,"天主教明德學校"
edb_513385000123,MIXED,CHSC_PSP,HIGH,"嘉諾撒培德學校"
edb_579220000123,MIXED,CHSC_PSP,HIGH,"沙田圍胡素貞博士紀念學校"
edb_170194000223,GIRLS,CHSC_PSP,HIGH,"聖士提反女子中學附屬小學"
edb_511439000123,MIXED,CHSC_PSP,HIGH,"中華基督教會長洲堂錦江小學"
edb_543179000123,MIXED,CHSC_PSP,HIGH,"聖公會青衣主恩小學"
edb_113190000123,MIXED,CHSC_PSP,HIGH,"聖公會主恩小學"
edb_115355000123,MIXED,CHSC_PSP,HIGH,"中華傳道會呂明才小學"
edb_511366000123,MIXED,CHSC_PSP,HIGH,"迦密梁省德學校"
edb_114758000123,MIXED,CHSC_PSP,HIGH,"路德會呂祥光小學"
edb_115126000123,MIXED,CHSC_PSP,HIGH,"大埔崇德黃建常紀念學校"
edb_535630000123,MIXED,CHSC_PSP,HIGH,"香港青年協會李兆基小學"
edb_535800000123,MIXED,CHSC_PSP,HIGH,"樂華天主教小學"
edb_543195000123,MIXED,CHSC_PSP,HIGH,"聖公會仁立紀念小學"
edb_115037000123,MIXED,CHSC_PSP,HIGH,"道教青松小學"
edb_522023000123,MIXED,CHSC_PSP,HIGH,"青松侯寶垣小學"
edb_518506000123,MIXED,CHSC_PSP,HIGH,"保良局馮晴紀念小學"
edb_516880000123,MIXED,CHSC_PSP,HIGH,"香海正覺蓮社佛教黃藻森學校"
edb_115576000123,MIXED,CHSC_PSP,HIGH,"柏立基教育學院校友會何壽基學校"
edb_511749000123,MIXED,CHSC_PSP,HIGH,"粉嶺公立學校"
