school_id,stage,relation_type,related_school_ids,confidence,source,notes
edb_513750000123,PRIMARY,THROUGH_TRAIN,edb_170615000133,HIGH,through_train_EDB,
edb_170615000133,SECONDARY,THROUGH_TRAIN,edb_513750000123,HIGH,through_train_EDB,
edb_511293000123,PRIMARY,THROUGH_TRAIN,edb_511307000133,HIGH,through_train_EDB,
edb_511307000133,SECONDARY,THROUGH_TRAIN,edb_511293000123,HIGH,through_train_EDB,
edb_560634000123,PRIMARY,THROUGH_TRAIN,edb_211990000233,HIGH,through_train_EDB,
edb_211990000233,SECONDARY,THROUGH_TRAIN,edb_560634000123,HIGH,through_train_EDB,
edb_512044000123,PRIMARY,THROUGH_TRAIN,edb_514128000133,HIGH,through_train_EDB,
edb_514128000133,SECONDARY,THROUGH_TRAIN,edb_512044000123|edb_514136000123,HIGH,through_train_EDB,
edb_514136000123,PRIMARY,THROUGH_TRAIN,edb_514128000133,HIGH,through_train_EDB,
edb_115290000123,PRIMARY,THROUGH_TRAIN,edb_545201000133,HIGH,through_train_EDB,
edb_545201000133,SECONDARY,THROUGH_TRAIN,edb_115290000123,HIGH,through_train_EDB,
edb_528986000123,PRIMARY,THROUGH_TRAIN,edb_514330000133,HIGH,through_train_EDB,
edb_514330000133,SECONDARY,THROUGH_TRAIN,edb_528986000123,HIGH,through_train_EDB,
edb_516880000123,PRIMARY,THROUGH_TRAIN,edb_552666000133,HIGH,through_train_EDB,
edb_552666000133,SECONDARY,THROUGH_TRAIN,edb_516880000123,HIGH,through_train_EDB,
edb_530409000123,PRIMARY,THROUGH_TRAIN,edb_536580000133,HIGH,through_train_EDB,
edb_536580000133,SECONDARY,THROUGH_TRAIN,edb_530409000123,HIGH,through_train_EDB,
edb_535621000223,PRIMARY,THROUGH_TRAIN,edb_560499000133,HIGH,through_train_EDB,
edb_560499000133,SECONDARY,THROUGH_TRAIN,edb_535621000223,HIGH,through_train_EDB,
edb_540170000123,PRIMARY,THROUGH_TRAIN,edb_541168000133,HIGH,through_train_EDB,
edb_541168000133,SECONDARY,THROUGH_TRAIN,edb_540170000123,HIGH,through_train_EDB,
edb_115720000123,PRIMARY,THROUGH_TRAIN,edb_518387000133|edb_560480000133,HIGH,through_train_EDB,
edb_518387000133,SECONDARY,THROUGH_TRAIN,edb_115720000123|edb_529532000123,HIGH,through_train_EDB,
edb_560480000133,SECONDARY,THROUGH_TRAIN,edb_115720000123|edb_529532000123,HIGH,through_train_EDB,
edb_529532000123,PRIMARY,THROUGH_TRAIN,edb_518387000133|edb_560480000133,HIGH,through_train_EDB,
edb_536547000223,PRIMARY,THROUGH_TRAIN,edb_536547000233,HIGH,through_train_EDB,
edb_536547000233,SECONDARY,THROUGH_TRAIN,edb_536547000223,HIGH,through_train_EDB,
edb_535672000223,PRIMARY,THROUGH_TRAIN,edb_552917000133,HIGH,through_train_EDB,
edb_552917000133,SECONDARY,THROUGH_TRAIN,edb_535672000223,HIGH,through_train_EDB,
edb_522074000223,PRIMARY,THROUGH_TRAIN,edb_522074000233,HIGH,through_train_EDB,
edb_522074000233,SECONDARY,THROUGH_TRAIN,edb_522074000223,HIGH,through_train_EDB,
edb_530026000123,PRIMARY,THROUGH_TRAIN,edb_545147000133,HIGH,through_train_EDB,
edb_545147000133,SECONDARY,THROUGH_TRAIN,edb_530026000123,HIGH,through_train_EDB,
edb_510777000123,PRIMARY,THROUGH_TRAIN,edb_510777000133,LOW,through_train_CHSC,
edb_510777000133,SECONDARY,THROUGH_TRAIN,edb_510777000123,LOW,through_train_CHSC,
edb_579530000123,PRIMARY,THROUGH_TRAIN,edb_579530000133,HIGH,through_train_CHSC,
edb_579530000133,SECONDARY,THROUGH_TRAIN,edb_579530000123,HIGH,through_train_CHSC,
edb_115207000123,PRIMARY,THROUGH_TRAIN,edb_558044000233,HIGH,through_train_CHSC,
edb_558044000233,SECONDARY,THROUGH_TRAIN,edb_115207000123,HIGH,through_train_CHSC,
edb_543314000223,PRIMARY,THROUGH_TRAIN,edb_543314000333,HIGH,through_train_CHSC,
edb_543314000333,SECONDARY,THROUGH_TRAIN,edb_543314000223,HIGH,through_train_CHSC,
edb_567337000123,PRIMARY,THROUGH_TRAIN,edb_567337000133,HIGH,through_train_CHSC,
edb_567337000133,SECONDARY,THROUGH_TRAIN,edb_567337000123,HIGH,through_train_CHSC,
edb_543292000323,PRIMARY,THROUGH_TRAIN,edb_543292000233,LOW,through_train_CHSC,
edb_543292000233,SECONDARY,THROUGH_TRAIN,edb_543292000323,LOW,through_train_CHSC,
