SCHOOL NO.,ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,WEBSITE,網頁,RELIGION,宗教
513709000123,Aided Primary Schools,資助小學,SALESIAN SCHOOL,慈幼學校,16 CHAI WAN ROAD SHAUKEIWAN HONG KONG,香港筲箕灣柴灣道16號,114.22963899,114.22963899,22.27571011,22.27571011,841706.0,841706.0,815207.0,815207.0,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,AIDED,資助,PRIMARY,小學,28850032,28850032,25689450,25689450,http://salesian.edu.hk,http://salesian.edu.hk,CATHOLICISM,天主教
114855000323,Aided Primary Schools,資助小學,TAI PO BAPTIST PUBLIC SCHOOL,大埔浸信會公立學校,"ROOMS 301, 305-307, 312, 401, 501-503, 506-508 AND 602-607, TAI PO GOVERNMENT PRIMARY SCHOOL, 8 TAI PO TAI WO ROAD, TAI PO, NEW TERRITORIES (FROM 3 DEC 2025 TO 31 AUG 2026)",新界大埔大埔太和路八號大埔官立小學301室、305至307室、312室、401室、501至503室、506至508室及602至607室(於2025年12月3日至2026年8月31日),114.15997075,114.15997075,22.45301533,22.45301533,834528.09104925,834528.09104925,834840.09262254,834840.09262254,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,PROTESTANTISM / CHRISTIANITY,基督教
114855000223,Aided Primary Schools,資助小學,TAI PO BAPTIST PUBLIC SCHOOL,大埔浸信會公立學校,"ROOMS 201-204 AND ROOMS 501-504, NTWJWA CHRISTIAN REMEMBRANCE OF GRACE PRIMARY SCHOOL, ESTATE PRIMARY SCHOOL NO. 1, TAI YUEN ESTATE, TAI PO, NEW TERRITORIES (FROM 3 DEC 2025 TO 31 AUG 2026)",新界大埔大元邨屋邨第一小學新界婦孺福利會基督教銘恩小學201至204室及501至504室(於2025年12月3日至2026年8月31日),114.17140549,114.17140549,22.45534204,22.45534204,835705.08907547,835705.08907547,835097.65613817,835097.65613817,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,PROTESTANTISM / CHRISTIANITY,基督教
115584000223,Aided Primary Schools,資助小學,STEWARDS POOI KEI PRIMARY SCHOOL,培基小學,ECO-GARDEN CUM PLANT NURSERY LOK LIN PATH SHA TIN NEW TERRITORIES,新界沙田樂蓮徑生態花園暨植物苗圃,114.19798732,114.19798732,22.40016765,22.40016765,838442.0,838442.0,828988.0,828988.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26025353,26025353,2697 3808,2697 3808,N.A.,N.A.,PROTESTANTISM / CHRISTIANITY,基督教
610224000123,Aided Primary Schools,資助小學,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION CHRISTIAN REMEMBRANCE OF GRACE PRIMARY SCHOOL,新界婦孺福利會基督教銘恩小學,"ESTATE PRIMARY SCHOOL NO. 1, TAI YUEN ESTATE, TAI PO, NEW TERRITORIES",新界大埔大元邨屋邨第一小學,114.17140462,114.17140462,22.45533611,22.45533611,835705.0,835705.0,835097.0,835097.0,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26686112,26686112,26686512,26686512,http://taipocrgps.edu.hk,http://taipocrgps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
512036000123,Aided Primary Schools,資助小學,TUNG WAH GROUP OF HOSPITALS HOK SHAN SCHOOL,東華三院鶴山學校,"5 WAH LAM PATH, WAH FU ESTATE, POKFULAM, HONG KONG",香港薄扶林華富邨華林徑5號,114.13805919,114.13805919,22.25264978,22.25264978,832267.0,832267.0,812653.0,812653.0,CO-ED,男女,WHOLE DAY,全日,SOUTHERN,南區,AIDED,資助,PRIMARY,小學,25511142,25511142,25517151,25517151,http://www.hokshan.edu.hk,http://www.hokshan.edu.hk,NOT APPLICABLE,不適用
115762000123,Aided Primary Schools,資助小學,YAN CHAI HOSPITAL CHOI HIN TO PRIMARY SCHOOL,仁濟醫院蔡衍濤小學,"WAN TAU TONG ESTATE, AREA 6, TAI PO, NEW TERRITORIES",新界大埔第六區運頭塘邨,114.16643137,114.16643137,22.44145606,22.44145606,835193.0,835193.0,833560.0,833560.0,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26566116,26566116,26578298,26578298,http://www.ychchtps.edu.hk,http://www.ychchtps.edu.hk,NOT APPLICABLE,不適用
114928000123,Aided Primary Schools,資助小學,YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,仁愛堂劉皇發夫人小學,ESTATE PRIMARY SCHOOL NO 6 ON TING ESTATE AREA 13 TUEN MUN NEW TERRITORIES,新界屯門13區安定邨屋邨小學第六校舍,113.97725881,113.97725881,22.38958858,22.38958858,815712.0,815712.0,827830.0,827830.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24510372,24510372,24417784,24417784,http://www.yotps.edu.hk,http://www.yotps.edu.hk,NOT APPLICABLE,不適用
114723000123,Aided Primary Schools,資助小學,FREE METHODIST MEI LAM PRIMARY SCHOOL,循理會美林小學,"MEI SHING COURT, TAI WAI, SHATIN, NEW TERRITORIES",新界沙田大圍美城苑,114.17408756,114.17408756,22.37965168,22.37965168,835981.0,835981.0,826716.0,826716.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26052868,26052868,26022709,26022709,http://www.fmml.edu.hk,http://www.fmml.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
512060000223,Aided Primary Schools,資助小學,HOLY FAMILY CANOSSIAN SCHOOL,嘉諾撒聖家學校,G/F 99 FUK LO TSUN ROAD KOWLOON CITY KOWLOON,九龍九龍城福佬村道99號地下,114.18746445,114.18746445,22.33101279,22.33101279,837359.0,837359.0,821330.0,821330.0,GIRLS,女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,23821035,23821035,23824406,23824406,N.A.,N.A.,CATHOLICISM,天主教
