officialId,officialNameZh,officialNameEn,schoolType,level,district,financeType,website
513709000123,慈幼學校,SALESIAN SCHOOL,資助小學,PRIMARY,EASTERN,AIDED,http://salesian.edu.hk
114855000323,大埔浸信會公立學校,TAI PO BAPTIST PUBLIC SCHOOL,資助小學,PRIMARY,TAI PO,AIDED,N.A.
114855000223,大埔浸信會公立學校,TAI PO BAPTIST PUBLIC SCHOOL,資助小學,PRIMARY,TAI PO,AIDED,N.A.
115584000223,培基小學,STEWARDS POOI KEI PRIMARY SCHOOL,資助小學,PRIMARY,SHA TIN,AIDED,N.A.
610224000123,新界婦孺福利會基督教銘恩小學,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION CHRISTIAN REMEMBRANCE OF GRACE PRIMARY SCHOOL,資助小學,PRIMARY,TAI PO,AIDED,http://taipocrgps.edu.hk
512036000123,東華三院鶴山學校,TUNG WAH GROUP OF HOSPITALS HOK SHAN SCHOOL,資助小學,PRIMARY,SOUTHERN,AIDED,http://www.hokshan.edu.hk
115762000123,仁濟醫院蔡衍濤小學,YAN CHAI HOSPITAL CHOI HIN TO PRIMARY SCHOOL,資助小學,PRIMARY,TAI PO,AIDED,http://www.ychchtps.edu.hk
114928000123,仁愛堂劉皇發夫人小學,YAN OI TONG MADAM LAU WONG FAT PRIMARY SCHOOL,資助小學,PRIMARY,TUEN MUN,AIDED,http://www.yotps.edu.hk
114723000123,循理會美林小學,FREE METHODIST MEI LAM PRIMARY SCHOOL,資助小學,PRIMARY,SHA TIN,AIDED,http://www.fmml.edu.hk
512060000223,嘉諾撒聖家學校,HOLY FAMILY CANOSSIAN SCHOOL,資助小學,PRIMARY,KOWLOON CITY,AIDED,N.A.
514519000223,香港道教聯合會雲泉學校,HONG KONG TAOIST ASSOCIATION WUN TSUEN SCHOOL,資助小學,PRIMARY,KWUN TONG,AIDED,http://www.hktawts.edu.hk
511161000123,浸信會孔憲紹天虹小學,BAPTIST HUNG HIN SHIU RAINBOW PRIMARY SCHOOL,資助小學,PRIMARY,WONG TAI SIN,AIDED,http://www.rainbow.edu.hk
511129000123,大坑東宣道小學,"ALLIANCE PRIMARY SCHOOL, TAI HANG TUNG",資助小學,PRIMARY,SHAM SHUI PO,AIDED,http://www.apstht.edu.hk
115320000123,香港中文大學校友會聯會張煊昌學校,CUHK FEDERATION OF ALUMNI ASSOCIATION THOMAS CHEUNG SCHOOL,資助小學,PRIMARY,SHA TIN,AIDED,http://www.tcps.edu.hk
114499000123,東華三院高可寧紀念小學,T.W.G.HS KO HO NING MEMORIAL PRIMARY SCHOOL,資助小學,PRIMARY,KWAI TSING,AIDED,http://www.twghkhnmp.edu.hk
518425000123,聖公會李兆強小學,S.K.H. LEE SHIU KEUNG PRIMARY SCHOOL,資助小學,PRIMARY,KWUN TONG,AIDED,http://www.skhlsk.edu.hk
113247000123,亞斯理衛理小學,ASBURY METHODIST PRIMARY SCHOOL,資助小學,PRIMARY,KWAI TSING,AIDED,http://www.asbury.edu.hk
513474000123,聖公會基樂小學,S.K.H. KEI LOK PRIMARY SCHOOL,資助小學,PRIMARY,KWUN TONG,AIDED,http://www.skhklps.edu.hk
