編號,學校名稱,學校級別,班級,學費類別,每名學生全年學費下限($),每名學生全年學費上限($),
1,聖保羅男女中學,中學,S1-S2,固定,84300,84300,
1,聖保羅男女中學,中學,S3,固定,80800,80800,
1,聖保羅男女中學,中學,S4,固定,75900,75900,
1,聖保羅男女中學,中學,S5,範圍,75900,123400,
1,聖保羅男女中學,中學,S6,範圍,75900,118700,
1,聖保羅男女中學,中學,宿費,範圍,74700,83000,
2,聖保羅書院,中學,S1-S6,固定,44000,44000,
3,漢華中學,中學,S1-S6,固定,18900,18900,
4,蘇浙公學,中學,S1-S6,固定,8390,8390,
5,培僑中學,中學,S1-S3,固定,10520,10520,
5,培僑中學,中學,S4-S6,固定,15900,15900,
5,培僑中學,中學,宿費,範圍,29820,42600,
6,中華基金中學,中學,S1-S3,固定,20960,20960,
6,中華基金中學,中學,S4-S6,固定,27930,27930,
7,佛教筏可紀念中學,中學,S1-S6,固定,6600,6600,
8,港青基信書院,中學,S1,固定,61000,61000,
8,港青基信書院,中學,S2,固定,58000,58000,
8,港青基信書院,中學,S3,固定,58000,58000,
8,港青基信書院,中學,S4,固定,57000,57000,
8,港青基信書院,中學,S5,範圍,57000,65000,
8,港青基信書院,中學,S6,範圍,50500,62000,
9,港大同學會書院,中學,S1-S3,固定,46500,46500,
9,港大同學會書院,中學,S4-S6,固定,49200,49200,
10,聖士提反書院,中學,S1-S4,固定,74550,74550,
10,聖士提反書院,中學,S5-S6,範圍,74550,109200,
10,聖士提反書院,中學,宿費,範圍,58030,82900,
11,孔聖堂禮仁書院,中學,S1-S6,固定,5990,5990,
12,中華基督教會公理書院,中學,S1-S4,固定,28700,28700,
12,中華基督教會公理書院,中學,S5-S6,固定,19200,19200,
13,聖保祿學校,中學,S1-S3,固定,30000,30000,
13,聖保祿學校,中學,S4-S6,固定,32000,32000,
14,拔萃男書院,中學,S1-S4,固定,63330,63330,
14,拔萃男書院,中學,S5-S6,範圍,63330,145090,
14,拔萃男書院,中學,宿費,固定,78400,78400,
15,協恩中學,中學,S1-S6,固定,43748,43748,
16,香港兆基創意書院,中學,S1-S5,固定,33000,33000,
16,香港兆基創意書院,中學,S6,固定,27600,27600,
17,保良局顏寶鈴書院,中學,S1-S4,固定,35200,35200,
17,保良局顏寶鈴書院,中學,S5-S6,範圍,35200,96500,
17,保良局顏寶鈴書院,中學,宿費,範圍,14700,80000,
18,創知中學,中學,S1-S3,固定,5166,5166,
18,創知中學,中學,S4-S6,固定,12730,12730,
19,地利亞修女紀念學校(協和),中學,S1-S3,固定,0,0,
19,地利亞修女紀念學校(協和),中學,S4,固定,3000,3000,
19,地利亞修女紀念學校(協和),中學,S5,範圍,3000,3500,
19,地利亞修女紀念學校(協和),中學,S6,固定,3000,3000,
20,地利亞修女紀念學校(協和二中),中學,S1-S3,固定,0,0,
20,地利亞修女紀念學校(協和二中),中學,S4-S6,固定,3000,3000,
21,基督教中國佈道會聖道迦南書院,中學,S1-S6,固定,25900,25900,
22,福建中學,中學,S1-S3,固定,24500,24500,
22,福建中學,中學,S4-S6,固定,26340,26340,
23,慕光英文書院,中學,S1-S3,固定,2200,2200,
23,慕光英文書院,中學,S4,固定,3300,3300,
23,慕光英文書院,中學,S5,範圍,3300,27000,
23,慕光英文書院,中學,S6,固定,3300,3300,
24,滙基書院(東九龍) ,中學,S1-S4,固定,29800,29800,
24,滙基書院(東九龍) ,中學,S5-S6,範圍,29800,37200,
24,滙基書院(東九龍) ,中學,宿費,固定,46800,46800,
25,啓思中學,中學,S1-S2,固定,96250,96250,
25,啓思中學,中學,S3,固定,102110,102110,
25,啓思中學,中學,S4,固定,101125,101125,
25,啓思中學,中學,S5,範圍,106255,153770,
25,啓思中學,中學,S6,範圍,106305,153760,
26,播道書院,中學,S1-S6,固定,30300,30300,
27,優才(楊殷有娣)書院,中學,S1,固定,39600,39600,
27,優才(楊殷有娣)書院,中學,S2-S3,固定,41910,41910,
27,優才(楊殷有娣)書院,中學,S4,固定,44110,44110,
27,優才(楊殷有娣)書院,中學,S5-S6,範圍,44110,88550,
28,將軍澳香島中學,中學,S1-S3,固定,7750,7750,
28,將軍澳香島中學,中學,S4-S6,固定,12800,12800,
29,香港華人基督教聯會真道書院,中學,S1-S4,固定,32300,32300,
29,香港華人基督教聯會真道書院,中學,S5-S6,範圍,32300,83680,
30,萬鈞匯知中學,中學,S1-S6,固定,11610,11610,
31,保良局羅氏基金中學,中學,S1-S3,固定,19800,19800,
31,保良局羅氏基金中學,中學,S4-S6,固定,24000,24000,
32,中聖書院,中學,S1-S3,固定,4430,4430,
32,中聖書院,中學,S4-S5,固定,9760,9760,
32,中聖書院,中學,S6,固定,9800,9800,
33,地利亞修女紀念學校(百老匯),中學,S1-S3,固定,0,0,
33,地利亞修女紀念學校(百老匯),中學,S4-S6,固定,3000,3000,
34,地利亞修女紀念學校(吉利徑),中學,S1-S3,固定,0,0,
34,地利亞修女紀念學校(吉利徑),中學,S4,固定,3000,3000,
34,地利亞修女紀念學校(吉利徑),中學,S5-S6,範圍,3000,29900,
35,香島中學,中學,S1-S3,固定,6130,6130,
35,香島中學,中學,S4-S6,固定,10830,10830,
36,聖瑪加利男女英文中小學,中學,S1-S6,固定,46770,46770,
37,基督教崇真中學,中學,S1-S4,固定,42500,42500,
37,基督教崇真中學,中學,S5-S6,範圍,42500,53150,
38,惠僑英文中學,中學,S1-S3,固定,3000,3000,
38,惠僑英文中學,中學,S4-S6,固定,3200,3200,
39,英華書院,中學,S1-S4,固定,25300,25300,
39,英華書院,中學,S5,範圍,25300,58000,
39,英華書院,中學,S6,固定,25300,25300,
40,德望學校,中學,S1-S3,固定,36750,36750,
40,德望學校,中學,S4-S6,固定,47250,47250,
41,拔萃女書院,中學,S1-S6,固定,42000,42000,
41,拔萃女書院,中學,宿費,固定,65000,65000,
42,香港管理專業協會李國寶中學,中學,S1,固定,39780,39780,
42,香港管理專業協會李國寶中學,中學,S2,固定,40170,40170,
42,香港管理專業協會李國寶中學,中學,S3,固定,40010,40010,
42,香港管理專業協會李國寶中學,中學,S4-S6,固定,38850,38850,
43,九龍三育中學,中學,S1-S6,固定,3060,3060,
44,基督教香港信義會心誠中學,中學,S1-S3,固定,7100,7100,
44,基督教香港信義會心誠中學,中學,S4-S6,固定,8400,8400,
45,香港浸會大學附屬學校王錦輝中小學,中學,S1-S4,固定,44800,44800,
45,香港浸會大學附屬學校王錦輝中小學,中學,S5-S6,範圍,44800,50320,
46,林大輝中學,中學,S1-S4,固定,45130,45130,
46,林大輝中學,中學,S5-S6,固定,42780,42780,
47,李寶椿聯合世界書院,中學,S5-S6,固定,110000,110000,
47,李寶椿聯合世界書院,中學,宿費,固定,214000,214000,
48,培僑書院,中學,S1-S3,固定,32900,32900,
48,培僑書院,中學,S4-S6,固定,41400,41400,
49,香港神託會培基書院,中學,S1,固定,30900,30900,
49,香港神託會培基書院,中學,S2,固定,30550,30550,
49,香港神託會培基書院,中學,S3-S4,固定,29300,29300,
49,香港神託會培基書院,中學,S5,範圍,28550,48450,
49,香港神託會培基書院,中學,S6,範圍,27150,48450,
50,德信中學,中學,S1-S6,固定,22000,22000,
51,羅定邦中學,中學,S1-S6,固定,23946,23946,
52,大埔三育中學,中學,S1,固定,12400,12400,
52,大埔三育中學,中學,S2-S6,固定,10800,10800,
53,中華基督教青年會中學,中學,S1-S6,固定,17583,17583,
54,基督教香港信義會宏信書院,中學,S1,固定,84110,84110,
54,基督教香港信義會宏信書院,中學,S2,固定,82470,82470,
54,基督教香港信義會宏信書院,中學,S3,固定,78920,78920,
54,基督教香港信義會宏信書院,中學,S4,固定,85350,85350,
54,基督教香港信義會宏信書院,中學,S5,範圍,83680,104880,
