編號,學校名稱,學校級別,中學暨小學,直接資助高中,地址,地域,地區,電話,學校網址,學費減免計劃網頁,獎學金計劃網頁
1,聖保羅男女中學,中學,否,否,香港中環麥當勞道33號及麥當勞道35號威豪閣附翼校舍,香港,中西區,2523 1187,http://www.spcc.edu.hk,https://www.spcc.edu.hk/chi//admissions/fee-remission-and-financial-aid,https://www.spcc.edu.hk/admissions/international-admissions-and-boarding/fees-and-scholarships
2,聖保羅書院,中學,否,否,香港般咸道67-69號,香港,中西區,2546 2241,http://www.spc.edu.hk,http://spc.edu.hk/content.php?id=169&mid=70-215,http://spc.edu.hk/content.php?id=56&mid=70-106
3,漢華中學,中學,是,否,香港小西灣富欣道3號,香港,東區,2817 1746,http://www.honwah.edu.hk,http://www.honwah.edu.hk/hwpage1/about_us/bursary.htm,https://www.honwah.edu.hk/admission/scholarship/
4,蘇浙公學,中學,否,否,香港寶馬山道20號,香港,東區,2570 2261,http://www.kccnp.info/,http://www.kccnp.info/?page_id=4839,http://www.kccnp.info/?page_id=4839
5,培僑中學,中學,否,否,香港北角天后廟道190號,香港,東區,2566 2317,http://www.pkms.edu.hk,https://www.pkms.edu.hk/apply/%E5%AD%B8%E8%B2%BB%E6%B8%9B%E5%85%8D.html,https://www.pkms.edu.hk/apply/%E7%8D%8E%E5%AD%B8%E9%87%91.html
6,中華基金中學,中學,否,否,香港柴灣小西灣富欣道9號,香港,東區,2904 7322,http://www.cfss.edu.hk,https://www.cfss.edu.hk/tc/content.php?wid=5#main,https://www.cfss.edu.hk/tc/content.php?wid=5#main
7,佛教筏可紀念中學,中學,否,否,新界大嶼山大澳大澳道99號,香港,離島,2985 5365,http://www.bfhmc.edu.hk,http://www.bfhmc.edu.hk/content.php?id=1074&lng=zh-hk,-
8,港青基信書院,中學,否,是,新界東涌松逸街2號及第40區政府用地,香港,離島,2988 8123,https://www.yhkcc.edu.hk/en/,https://yhkcc.edu.hk/admission/fee-remission-scheme/application-form-for-fee-remission-scheme/,-
9,港大同學會書院,中學,否,否,香港黃竹坑南風道9號,香港,南區,2870 8815,http://www.hkugac.edu.hk,https://www.hkugac.edu.hk/tc/engage/as-a-student/financial-assistance,https://www.hkugac.edu.hk/tc/engage/as-a-student/scholarship
10,聖士提反書院,中學,否,否,香港赤柱東頭灣道22號,香港,南區,2813 0360,http://www.ssc.edu.hk,https://www.ssc.edu.hk/zh_tw/site/view?name=Fee+Remission,https://www.ssc.edu.hk/zh_tw/site/view?name=Scholarships
