schoolId,field,status,currentValue,proposedValue,sourceUrl,notes
sch_00001,id,PASS,sch_00001,,,
sch_00001,name,NEED_REVIEW,維多利亞國際幼稚園,,,
sch_00001,nameEn,NEED_REVIEW,Victoria International Kindergarten,,,
sch_00001,searchKeywords,PASS,"[""VIK"",""Victoria"",""觀塘區"",""九龍"",""international""]",,,
sch_00001,category,FAIL,type:國際學校|funding:私立,,,Schema mismatch: use category not type/fundingType
sch_00001,district,FAIL,district:觀塘區|region:九龍,九龍,,Use region value for district field
sch_00001,level,PASS,幼稚園,,,
sch_00001,tuitionMin,FAIL,tuition:197798,,,Schema: split tuition into tuitionMin/Max
sch_00001,tuitionMax,FAIL,MISSING,,,Field missing in data
sch_00001,curriculum,FAIL,IB 課程,"[""IB 課程""]",,Should be array not string
sch_00001,language,PASS,全英文,,,
sch_00001,highlights,FAIL,"features:[""音樂特色"",""全人發展"",""藝術特色""]","[""音樂特色"",""全人發展"",""藝術特色""]",,Rename features to highlights
sch_00001,address,FAIL,香港九龍觀塘區某街道88號,,,Placeholder address
sch_00001,phone,NEED_REVIEW,26243751,,,
sch_00001,website,FAIL,https://www.school1.edu.hk,,,Placeholder URL
sch_00001,applicationMaterials,UNKNOWN,MISSING,,,
sch_00001,applicationLink,FAIL,https://www.school1.edu.hk/admission,,,Placeholder URL
sch_00001,latitude,NEED_REVIEW,22.355437,,,
sch_00001,longitude,NEED_REVIEW,114.218446,,,
sch_00001,articulation,UNKNOWN,MISSING,,,Module not implemented
sch_00002,id,PASS,sch_00002,,,
sch_00002,name,NEED_REVIEW,香港國際幼稚園,,,
sch_00002,nameEn,NEED_REVIEW,Hong Kong International Kindergarten,,,
sch_00002,searchKeywords,PASS,"[""HKIK"",""東區"",""港島"",""international""]",,,
sch_00002,category,FAIL,type:國際學校|funding:私立,,,Schema mismatch: use category not type/fundingType
sch_00002,district,FAIL,district:東區|region:港島,港島,,Use region value for district field
sch_00002,level,PASS,幼稚園,,,
sch_00002,tuitionMin,FAIL,tuition:145208,,,Schema: split tuition into tuitionMin/Max
sch_00002,tuitionMax,FAIL,MISSING,,,Field missing in data
sch_00002,curriculum,FAIL,英國課程,"[""英國課程""]",,Should be array not string
sch_00002,language,FAIL,雙語,,,
sch_00002,highlights,FAIL,"features:[""科技教育"",""音樂特色"",""STEM教育"",""雙語教學""]","[""科技教育"",""音樂特色"",""STEM教育"",""雙語教學""]",,Rename features to highlights
sch_00002,address,FAIL,香港港島東區某街道29號,,,Placeholder address
sch_00002,phone,NEED_REVIEW,24370955,,,
sch_00002,website,FAIL,https://www.school2.edu.hk,,,Placeholder URL
sch_00002,applicationMaterials,UNKNOWN,MISSING,,,
sch_00002,applicationLink,FAIL,https://www.school2.edu.hk/admission,,,Placeholder URL
sch_00002,latitude,NEED_REVIEW,22.29434,,,
sch_00002,longitude,NEED_REVIEW,114.225034,,,
sch_00002,articulation,UNKNOWN,MISSING,,,Module not implemented
sch_00003,id,PASS,sch_00003,,,
sch_00003,name,NEED_REVIEW,澳洲國際深水埗區幼稚園,,,
sch_00003,nameEn,NEED_REVIEW,Australian International Kindergarten,,,
sch_00003,searchKeywords,PASS,"[""AIS"",""深水埗區"",""九龍"",""international""]",,,
sch_00003,category,FAIL,type:國際學校|funding:私立,,,Schema mismatch: use category not type/fundingType
sch_00003,district,FAIL,district:深水埗區|region:九龍,九龍,,Use region value for district field
sch_00003,level,PASS,幼稚園,,,
sch_00003,tuitionMin,FAIL,tuition:107807,,,Schema: split tuition into tuitionMin/Max
sch_00003,tuitionMax,FAIL,MISSING,,,Field missing in data
sch_00003,curriculum,FAIL,美國課程,"[""美國課程""]",,Should be array not string
sch_00003,language,PASS,全英文,,,
sch_00003,highlights,FAIL,"features:[""環保教育"",""全人發展"",""閱讀計劃"",""小班教學""]","[""環保教育"",""全人發展"",""閱讀計劃"",""小班教學""]",,Rename features to highlights
sch_00003,address,FAIL,香港九龍深水埗區某街道121號,,,Placeholder address
sch_00003,phone,NEED_REVIEW,33907484,,,
sch_00003,website,FAIL,https://www.school3.edu.hk,,,Placeholder URL
sch_00003,applicationMaterials,UNKNOWN,MISSING,,,
sch_00003,applicationLink,FAIL,https://www.school3.edu.hk/admission,,,Placeholder URL
sch_00003,latitude,NEED_REVIEW,22.341686,,,
sch_00003,longitude,NEED_REVIEW,114.211424,,,
sch_00003,articulation,UNKNOWN,MISSING,,,Module not implemented
sch_00004,id,PASS,sch_00004,,,
sch_00004,name,NEED_REVIEW,加拿大國際深水埗區幼稚園,,,
sch_00004,nameEn,NEED_REVIEW,Canadian International Kindergarten,,,
sch_00004,searchKeywords,PASS,"[""CDNIS"",""深水埗區"",""九龍"",""international""]",,,
sch_00004,category,FAIL,type:國際學校|funding:私立,,,Schema mismatch: use category not type/fundingType
sch_00004,district,FAIL,district:深水埗區|region:九龍,九龍,,Use region value for district field
sch_00004,level,PASS,幼稚園,,,
sch_00004,tuitionMin,FAIL,tuition:194161,,,Schema: split tuition into tuitionMin/Max
sch_00004,tuitionMax,FAIL,MISSING,,,Field missing in data
sch_00004,curriculum,FAIL,澳洲課程,"[""澳洲課程""]",,Should be array not string
sch_00004,language,PASS,全英文,,,
sch_00004,highlights,FAIL,"features:[""國際交流"",""科技教育""]","[""國際交流"",""科技教育""]",,Rename features to highlights
sch_00004,address,FAIL,香港九龍深水埗區某街道160號,,,Placeholder address
sch_00004,phone,NEED_REVIEW,27072636,,,
sch_00004,website,FAIL,https://www.school4.edu.hk,,,Placeholder URL
sch_00004,applicationMaterials,UNKNOWN,MISSING,,,
sch_00004,applicationLink,FAIL,https://www.school4.edu.hk/admission,,,Placeholder URL
sch_00004,latitude,NEED_REVIEW,22.301574,,,
sch_00004,longitude,NEED_REVIEW,114.187625,,,
sch_00004,articulation,UNKNOWN,MISSING,,,Module not implemented
sch_00005,id,PASS,sch_00005,,,
sch_00005,name,NEED_REVIEW,法國國際東區幼稚園,,,
sch_00005,nameEn,NEED_REVIEW,French International Kindergarten,,,
sch_00005,searchKeywords,PASS,"[""FIS"",""東區"",""港島"",""international""]",,,
sch_00005,category,FAIL,type:國際學校|funding:私立,,,Schema mismatch: use category not type/fundingType
sch_00005,district,FAIL,district:東區|region:港島,港島,,Use region value for district field
sch_00005,level,PASS,幼稚園,,,
sch_00005,tuitionMin,FAIL,tuition:100718,,,Schema: split tuition into tuitionMin/Max
sch_00005,tuitionMax,FAIL,MISSING,,,Field missing in data
sch_00005,curriculum,FAIL,加拿大課程,"[""加拿大課程""]",,Should be array not string
sch_00005,language,FAIL,雙語,,,
sch_00005,highlights,FAIL,"features:[""小班教學"",""品德教育"",""環保教育""]","[""小班教學"",""品德教育"",""環保教育""]",,Rename features to highlights
sch_00005,address,FAIL,香港港島東區某街道87號,,,Placeholder address
sch_00005,phone,NEED_REVIEW,22722591,,,
