schoolId,currentName,currentNameEn,matchStatus,matchedOfficialName,matchedOfficialId,matchScore,notes
sch_00001,維多利亞國際幼稚園,Victoria International Kindergarten,AMBIGUOUS,維多利亞(何文田)國際幼稚園 | 維多利亞(何文田)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園,,70,multiple fuzzy matches (zh): 7
sch_00002,香港國際幼稚園,Hong Kong International Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00003,澳洲國際深水埗區幼稚園,Australian International Kindergarten,UNMATCHED,,,0,synthetic: 國際+區 pattern
sch_00004,加拿大國際深水埗區幼稚園,Canadian International Kindergarten,UNMATCHED,,,0,synthetic: 國際+區 pattern
sch_00005,法國國際東區幼稚園,French International Kindergarten,UNMATCHED,,,0,synthetic: 國際+區 pattern
sch_00006,香港國際幼稚園,Hong Kong International Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00007,美國國際幼稚園,American International Kindergarten,UNMATCHED,,,0,synthetic: fake international pattern
sch_00008,法國國際幼稚園,French International Kindergarten,UNMATCHED,,,0,synthetic: fake international pattern
sch_00009,德瑞國際幼稚園,German Swiss International Kindergarten,UNMATCHED,,,0,no match in EDB database
sch_00010,耀中國際深水埗區幼稚園,Yew Chung International Kindergarten,UNMATCHED,,,0,synthetic: 國際+區 pattern
sch_00011,澳洲國際大埔區幼稚園,Australian International Kindergarten,UNMATCHED,,,0,synthetic: 國際+區 pattern
sch_00012,漢基國際幼稚園（第2校）,Chinese International Kindergarten (屯門區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00013,加拿大國際元朗區幼稚園（第3校）,Canadian International Kindergarten (元朗區),UNMATCHED,,,0,synthetic: 第N校 pattern
sch_00014,法國國際沙田區幼稚園（沙田區分校）,French International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 分校 pattern
sch_00015,美國國際幼稚園（南區）,American International Kindergarten (九龍城區),UNMATCHED,,,0,synthetic: 區 suffix pattern
sch_00016,維多利亞國際幼稚園（第1校）,Victoria International Kindergarten (北區),AMBIGUOUS,維多利亞(何文田)國際幼稚園 | 維多利亞(何文田)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞(海之戀)國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園 | 維多利亞（海怡）國際幼稚園,,70,multiple fuzzy matches (zh): 7
sch_00017,香港國際沙田區幼稚園（第2校）,Hong Kong International Kindergarten (沙田區),UNMATCHED,,,0,synthetic: 第N校 pattern
