schoolId,schoolName,currentWebsite,proposedWebsite,status,sourceUrl,capturedAt,confidence,noteShort
sch_00001,維多利亞國際幼稚園,https://www.school1.edu.hk,https://www.victoria.edu.hk/,AUTO-FIX,https://www.victoria.edu.hk/,2026-01-10,HIGH,Victoria Educational Organisation official site
sch_00002,香港國際幼稚園,https://www.school2.edu.hk,,NEED_REVIEW,,,NONE,unrecognized school - needs manual lookup
sch_00003,澳洲國際深水埗區幼稚園,https://www.school3.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00004,加拿大國際深水埗區幼稚園,https://www.school4.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00005,法國國際東區幼稚園,https://www.school5.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00006,香港國際幼稚園,https://www.school6.edu.hk,,NEED_REVIEW,,,NONE,unrecognized school - needs manual lookup
sch_00007,美國國際幼稚園,https://www.school7.edu.hk,,NEED_REVIEW,,,NONE,unrecognized school - needs manual lookup
sch_00008,法國國際幼稚園,https://www.school8.edu.hk,,NEED_REVIEW,,,NONE,unrecognized school - needs manual lookup
sch_00009,德瑞國際幼稚園,https://www.school9.edu.hk,https://www.gsis.edu.hk/,AUTO-FIX,https://www.gsis.edu.hk/,2026-01-10,HIGH,German Swiss International School official site
sch_00010,耀中國際深水埗區幼稚園,https://www.school10.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00011,澳洲國際大埔區幼稚園,https://www.school11.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00012,漢基國際幼稚園（第2校）,https://www.school12.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00013,加拿大國際元朗區幼稚園（第3校）,https://www.school13.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00014,法國國際沙田區幼稚園（沙田區分校）,https://www.school14.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00015,美國國際幼稚園（南區）,https://www.school15.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00016,維多利亞國際幼稚園（第1校）,https://www.school16.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00017,香港國際沙田區幼稚園（第2校）,https://www.school17.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00018,耀中國際幼稚園（觀塘區分校）,https://www.school18.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00019,德瑞國際幼稚園（南區）,https://www.school19.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00020,漢基國際幼稚園（東區分校）,https://www.school20.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00021,美國國際黃大仙區幼稚園（黃大仙區）,https://www.school21.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00022,澳洲國際油尖旺區幼稚園（油尖旺區）,https://www.school22.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00023,澳洲國際沙田區幼稚園（北區）,https://www.school23.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00024,香港國際大埔區幼稚園（第4校）,https://www.school24.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00025,耀中國際幼稚園（觀塘區）,https://www.school25.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00026,德瑞國際九龍城區幼稚園（第1校）,https://www.school26.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00027,香港國際九龍城區幼稚園（第2校）,https://www.school27.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00028,澳洲國際幼稚園（第3校）,https://www.school28.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00029,法國國際幼稚園（第4校）,https://www.school29.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00030,德瑞國際幼稚園（觀塘區分校）,https://www.school30.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00031,加拿大國際深水埗區幼稚園（深水埗區）,https://www.school31.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00032,法國國際幼稚園（灣仔區）,https://www.school32.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00033,維多利亞國際南區幼稚園（南區）,https://www.school33.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00034,德瑞國際幼稚園（第4校）,https://www.school34.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00035,澳洲國際幼稚園（南區分校）,https://www.school35.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00036,漢基國際幼稚園（西區）,https://www.school36.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00037,法國國際幼稚園（南區）,https://www.school37.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00038,法國國際大埔區幼稚園（大埔區分校）,https://www.school38.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00039,耀中國際沙田區幼稚園（北區）,https://www.school39.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00040,新加坡國際幼稚園（中西區分校）,https://www.school40.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00041,澳洲國際幼稚園（東區分校）,https://www.school41.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00042,法國國際幼稚園（第2校）,https://www.school42.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00043,德瑞國際深水埗區幼稚園（深水埗區）,https://www.school43.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00044,耀中國際九龍城區幼稚園（九龍城區）,https://www.school44.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00045,美國國際離島區幼稚園（北區）,https://www.school45.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00046,新加坡國際幼稚園（東區）,https://www.school46.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00047,漢基國際幼稚園（中西區）,https://www.school47.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00048,新加坡國際荃灣區幼稚園（北區）,https://www.school48.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00049,耀中國際葵青區幼稚園（葵青區）,https://www.school49.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00050,美國國際東區幼稚園（第5校）,https://www.school50.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00051,耀中國際幼稚園（九龍城區分校）,https://www.school51.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00052,維多利亞國際沙田區幼稚園（沙田區分校）,https://www.school52.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00053,加拿大國際北區幼稚園（第3校）,https://www.school53.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00054,澳洲國際幼稚園（北區）,https://www.school54.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00055,澳洲國際幼稚園（第5校）,https://www.school55.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00056,香港國際幼稚園（第1校）,https://www.school56.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00057,維多利亞國際元朗區幼稚園（西區）,https://www.school57.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00058,漢基國際中西區幼稚園（西區）,https://www.school58.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00059,漢基國際幼稚園（第4校）,https://www.school59.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00060,美國國際幼稚園（第5校）,https://www.school60.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00061,美國國際幼稚園（南區）,https://www.school61.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00062,澳洲國際葵青區幼稚園（葵青區）,https://www.school62.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
sch_00063,漢基國際幼稚園（南區分校）,https://www.school63.edu.hk,,UNKNOWN,,,NONE,synthetic name pattern - school may not exist
