school_name_en,school_name_zh,edb_id,level,district,baseName
ABC PATHWAYS INTERNATIONAL KINDERGARTEN,ABC PATHWAYS INTERNATIONAL KINDERGARTEN,edb_602329000111,幼稚園,東區,ABC PATHWAYS INTERNATIONAL KINDERGARTEN
ABC PATHWAYS INTERNATIONAL KINDERGARTEN,ABC PATHWAYS INTERNATIONAL KINDERGARTEN,edb_602329000112,幼稚園,東區,ABC PATHWAYS INTERNATIONAL KINDERGARTEN
ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN),ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN),edb_603864000211,幼稚園,九龍城區,ABC PATHWAYS INTERNATIONAL KINDERGARTEN
ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN),ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN),edb_603864000212,幼稚園,九龍城區,ABC PATHWAYS INTERNATIONAL KINDERGARTEN
ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN),ABC PATHWAYS INTERNATIONAL KINDERGARTEN (WHAMPOA GARDEN),edb_603864000213,幼稚園,九龍城區,ABC PATHWAYS INTERNATIONAL KINDERGARTEN
ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN,安基司學校附屬國際幼稚園,edb_622060000112,幼稚園,元朗區,ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN
ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN,安基司學校附屬國際幼稚園,edb_622060000113,幼稚園,元朗區,ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN
ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN,安基司學校附屬國際幼稚園,edb_622060000111,幼稚園,元朗區,ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN
ANCHORS INTERNATIONAL NURSERY,安基司國際幼兒園,edb_565199000212,幼稚園,大埔區,ANCHORS INTERNATIONAL NURSERY
ANCHORS INTERNATIONAL NURSERY,安基司國際幼兒園,edb_565199000211,幼稚園,大埔區,ANCHORS INTERNATIONAL NURSERY
ANCHORS INTERNATIONAL NURSERY,安基司國際幼兒園,edb_565199000213,幼稚園,大埔區,ANCHORS INTERNATIONAL NURSERY
ANCHORS INTERNATIONAL NURSERY,安基司國際幼兒園,edb_565199000113,幼稚園,大埔區,ANCHORS INTERNATIONAL NURSERY
ANCHORS INTERNATIONAL NURSERY,安基司國際幼兒園,edb_565199000111,幼稚園,大埔區,ANCHORS INTERNATIONAL NURSERY
ANCHORS INTERNATIONAL NURSERY,安基司國際幼兒園,edb_565199000112,幼稚園,大埔區,ANCHORS INTERNATIONAL NURSERY
ANFIELD INTERNATIONAL KINDERGARTEN,安菲爾國際幼稚園,edb_535818000312,幼稚園,九龍城區,ANFIELD INTERNATIONAL KINDERGARTEN
ANFIELD INTERNATIONAL KINDERGARTEN,安菲爾國際幼稚園,edb_535818000311,幼稚園,九龍城區,ANFIELD INTERNATIONAL KINDERGARTEN
ANFIELD INTERNATIONAL KINDERGARTEN,安菲爾國際幼稚園,edb_535818000313,幼稚園,九龍城區,ANFIELD INTERNATIONAL KINDERGARTEN
ANFIELD INTERNATIONAL KINDERGARTEN,安菲爾國際幼稚園,edb_535818000211,幼稚園,九龍城區,ANFIELD INTERNATIONAL KINDERGARTEN
ANFIELD INTERNATIONAL KINDERGARTEN,安菲爾國際幼稚園,edb_535818000212,幼稚園,九龍城區,ANFIELD INTERNATIONAL KINDERGARTEN
ANFIELD INTERNATIONAL KINDERGARTEN,安菲爾國際幼稚園,edb_535818000213,幼稚園,九龍城區,ANFIELD INTERNATIONAL KINDERGARTEN
ARISTLE INTERNATIONAL KINDERGARTEN,雅士圖國際幼稚園,edb_604470000111,幼稚園,深水埗區,ARISTLE INTERNATIONAL KINDERGARTEN
ARISTLE INTERNATIONAL KINDERGARTEN,雅士圖國際幼稚園,edb_604470000112,幼稚園,深水埗區,ARISTLE INTERNATIONAL KINDERGARTEN
CAUSEWAY BAY VICTORIA INTERNATIONAL KINDERGARTEN,銅鑼灣維多利亞國際幼稚園,edb_325651000113,幼稚園,灣仔區,CAUSEWAY BAY VICTORIA INTERNATIONAL KINDERGARTEN
CAUSEWAY BAY VICTORIA INTERNATIONAL KINDERGARTEN,銅鑼灣維多利亞國際幼稚園,edb_325651000112,幼稚園,灣仔區,CAUSEWAY BAY VICTORIA INTERNATIONAL KINDERGARTEN
CHATSWORTH INTERNATIONAL KINDERGARTEN (BOUNDARY STREET),新加坡卓薈國際幼稚園(界限街),edb_599182000111,幼稚園,九龍城區,CHATSWORTH INTERNATIONAL KINDERGARTEN
CHATSWORTH INTERNATIONAL KINDERGARTEN (BOUNDARY STREET),新加坡卓薈國際幼稚園(界限街),edb_599182000112,幼稚園,九龍城區,CHATSWORTH INTERNATIONAL KINDERGARTEN
CHATSWORTH INTERNATIONAL KINDERGARTEN (BOUNDARY STREET),新加坡卓薈國際幼稚園(界限街),edb_599182000113,幼稚園,九龍城區,CHATSWORTH INTERNATIONAL KINDERGARTEN
CHRISTIAN ALLIANCE P.C. LAU MEMORIAL INTERNATIONAL SCHOOL,宣道會劉平齋紀念國際學校,edb_216127000123,小學,九龍城區,CHRISTIAN ALLIANCE P.C. LAU MEMORIAL INTERNATIONAL SCHOOL
DEBORAH INTERNATIONAL PRE-SCHOOL (BAUHINIA GARDEN),德寶國際幼兒學校（寶盈花園）,edb_567116000112,幼稚園,西貢區,DEBORAH INTERNATIONAL PRE
DEBORAH INTERNATIONAL PRE-SCHOOL (BAUHINIA GARDEN),德寶國際幼兒學校（寶盈花園）,edb_567116000113,幼稚園,西貢區,DEBORAH INTERNATIONAL PRE
DEBORAH INTERNATIONAL PRE-SCHOOL (BAUHINIA GARDEN),德寶國際幼兒學校（寶盈花園）,edb_567116000111,幼稚園,西貢區,DEBORAH INTERNATIONAL PRE
DEBORAH INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O),德寶國際幼兒學校（將軍澳）,edb_567108000112,幼稚園,西貢區,DEBORAH INTERNATIONAL PRE
DEBORAH INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O),德寶國際幼兒學校（將軍澳）,edb_567108000113,幼稚園,西貢區,DEBORAH INTERNATIONAL PRE
DEBORAH INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O),德寶國際幼兒學校（將軍澳）,edb_567108000111,幼稚園,西貢區,DEBORAH INTERNATIONAL PRE
DISCOVERY BAY INTERNATIONAL SCHOOL,DISCOVERY BAY INTERNATIONAL SCHOOL,edb_230987000133,中學,離島區,DISCOVERY BAY INTERNATIONAL SCHOOL
DISCOVERY MONTESSORI SCHOOL,香港國際蒙特梭利學校,edb_584606000113,幼稚園,離島區,DISCOVERY MONTESSORI SCHOOL
DISCOVERY MONTESSORI SCHOOL,香港國際蒙特梭利學校,edb_584606000112,幼稚園,離島區,DISCOVERY MONTESSORI SCHOOL
DISCOVERY MONTESSORI SCHOOL,香港國際蒙特梭利學校,edb_584606000111,幼稚園,離島區,DISCOVERY MONTESSORI SCHOOL
DISCOVERY MONTESSORI SCHOOL (CENTRAL),香港國際蒙特梭利學校(中環),edb_588032000111,幼稚園,中西區,DISCOVERY MONTESSORI SCHOOL
DISCOVERY MONTESSORI SCHOOL (CENTRAL),香港國際蒙特梭利學校(中環),edb_588032000112,幼稚園,中西區,DISCOVERY MONTESSORI SCHOOL
DISCOVERY MONTESSORI SCHOOL (CENTRAL),香港國際蒙特梭利學校(中環),edb_588032000113,幼稚園,中西區,DISCOVERY MONTESSORI SCHOOL
EIS INTERNATIONAL PRE-SCHOOL,艾蒙特國際幼稚園,edb_615633000113,幼稚園,元朗區,EIS INTERNATIONAL PRE
EIS INTERNATIONAL PRE-SCHOOL,艾蒙特國際幼稚園,edb_615633000111,幼稚園,元朗區,EIS INTERNATIONAL PRE
EIS INTERNATIONAL PRE-SCHOOL,艾蒙特國際幼稚園,edb_615633000112,幼稚園,元朗區,EIS INTERNATIONAL PRE
GALILEE INTERNATIONAL KINDERGARTEN,伽利利國際幼稚園,edb_597031000112,幼稚園,九龍城區,GALILEE INTERNATIONAL KINDERGARTEN
GALILEE INTERNATIONAL KINDERGARTEN,伽利利國際幼稚園,edb_597031000111,幼稚園,九龍城區,GALILEE INTERNATIONAL KINDERGARTEN
GERMAN SWISS INTERNATIONAL SCHOOL,德瑞國際學校,edb_214558000221,小學,南區,GERMAN SWISS INTERNATIONAL SCHOOL
GERMAN SWISS INTERNATIONAL SCHOOL,德瑞國際學校,edb_214558000121,小學,南區,GERMAN SWISS INTERNATIONAL SCHOOL
